report_period,town,prescription_count,rate_per_1000
2022 Quarter 1,Andover,214,67.96
2022 Quarter 1,Ansonia,1241,65.65
2022 Quarter 1,Ashford,354,84.59
2022 Quarter 1,Avon,1670,88.28
2022 Quarter 1,Barkhamsted,259,70.96
2022 Quarter 1,Beacon Falls,478,79.76
2022 Quarter 1,Berlin,1132,56.17
2022 Quarter 1,Bethany,498,94.07
2022 Quarter 1,Bethel,1923,94.58
2022 Quarter 1,Bethlehem,256,75.74
2022 Quarter 1,Bloomfield,827,38.54
2022 Quarter 1,Bolton,355,72.93
2022 Quarter 1,Bozrah,273,112.72
2022 Quarter 1,Branford,2802,99.29
2022 Quarter 1,Bridgeport,3833,25.78
2022 Quarter 1,Bridgewater,137,82.58
2022 Quarter 1,Bristol,4257,70.03
2022 Quarter 1,Brookfield,1755,100.19
2022 Quarter 1,Brooklyn,707,83.66
2022 Quarter 1,Burlington,681,71.53
2022 Quarter 1,Canaan,264,244.22
2022 Quarter 1,Canterbury,405,80.34
2022 Quarter 1,Canton,793,78.32
2022 Quarter 1,Chaplin,183,85.47
2022 Quarter 1,Cheshire,2092,72.82
2022 Quarter 1,Chester,315,84.13
2022 Quarter 1,Clinton,1337,101.49
2022 Quarter 1,Colchester,1692,108.82
2022 Quarter 1,Colebrook,96,70.59
2022 Quarter 1,Columbia,488,92.72
2022 Quarter 1,Cornwall,99,63.22
2022 Quarter 1,Coventry,951,77.71
2022 Quarter 1,Cromwell,1199,84.42
2022 Quarter 1,Danbury,4994,57.69
2022 Quarter 1,Darien,2657,123.43
2022 Quarter 1,Deep River,485,109.93
2022 Quarter 1,Derby,872,70.74
2022 Quarter 1,Durham,533,74.54
2022 Quarter 1,East Granby,126,24.15
2022 Quarter 1,East Haddam,446,50.27
2022 Quarter 1,East Hampton,724,56.97
2022 Quarter 1,East Hartford,1035,20.29
2022 Quarter 1,East Haven,1961,70.35
2022 Quarter 1,East Lyme,2115,113.44
2022 Quarter 1,East Windsor,2037,182.41
2022 Quarter 1,Eastford,682,413.33
2022 Quarter 1,Easton,651,85.62
2022 Quarter 1,Ellington,1014,61.72
2022 Quarter 1,Enfield,2873,68.2
2022 Quarter 1,Essex,601,89.53
2022 Quarter 1,Fairfield,5920,96.3
2022 Quarter 1,Farmington,1819,68.2
2022 Quarter 1,Franklin,129,69.24
2022 Quarter 1,Glastonbury,2904,82.72
2022 Quarter 1,Goshen,230,73.06
2022 Quarter 1,Granby,850,78.05
2022 Quarter 1,Greenwich,6477,102.0
2022 Quarter 1,Griswold,1437,125.93
2022 Quarter 1,Groton,2537,65.99
2022 Quarter 1,Guilford,2312,104.88
2022 Quarter 1,Haddam,703,83.21
2022 Quarter 1,Hamden,3133,51.31
2022 Quarter 1,Hampton,187,108.16
2022 Quarter 1,Hartford,3702,30.59
2022 Quarter 1,Hartland,136,71.58
2022 Quarter 1,Harwinton,350,63.99
2022 Quarter 1,Hebron,810,88.99
2022 Quarter 1,Kent,212,70.34
2022 Quarter 1,Killingly,1598,90.09
2022 Quarter 1,Killingworth,581,94.12
2022 Quarter 1,Lebanon,565,79.11
2022 Quarter 1,Ledyard,1593,103.31
2022 Quarter 1,Lisbon,265,63.23
2022 Quarter 1,Litchfield,674,82.55
2022 Quarter 1,Lyme,95,40.39
2022 Quarter 1,Madison,2174,123.12
2022 Quarter 1,Manchester,3757,62.94
2022 Quarter 1,Mansfield,710,27.43
2022 Quarter 1,Marlborough,581,94.83
2022 Quarter 1,Meriden,3742,61.55
2022 Quarter 1,Middlebury,690,91.07
2022 Quarter 1,Middlefield,389,92.25
2022 Quarter 1,Middletown,3389,71.08
2022 Quarter 1,Milford,4256,81.92
2022 Quarter 1,Monroe,1609,85.55
2022 Quarter 1,Montville,1912,104.04
2022 Quarter 1,Morris,106,47.11
2022 Quarter 1,Naugatuck,2071,65.71
2022 Quarter 1,New Britain,3508,47.33
2022 Quarter 1,New Canaan,2597,126.04
2022 Quarter 1,New Fairfield,1249,92.04
2022 Quarter 1,New Hartford,505,75.92
2022 Quarter 1,New Haven,6215,46.36
2022 Quarter 1,New London,2143,78.28
2022 Quarter 1,New Milford,2191,77.95
2022 Quarter 1,Newington,2512,82.46
2022 Quarter 1,Newtown,2837,104.48
2022 Quarter 1,Norfolk,91,57.41
2022 Quarter 1,North Branford,15,4.69
2022 Quarter 1,North Canaan,2086,86.07
2022 Quarter 1,North Haven,393,76.28
2022 Quarter 1,North Stonington,1187,87.7
2022 Quarter 1,Norwalk,5169,56.68
2022 Quarter 1,Norwich,3322,82.74
2022 Quarter 1,Old Lyme,882,115.82
2022 Quarter 1,Old Saybrook,1119,107.16
2022 Quarter 1,Orange,1035,72.61
2022 Quarter 1,Oxford,1034,81.4
2022 Quarter 1,Plainfield,1268,84.62
2022 Quarter 1,Plainville,1320,75.36
2022 Quarter 1,Plymouth,894,76.62
2022 Quarter 1,Pomfret,431,100.94
2022 Quarter 1,Portland,850,90.71
2022 Quarter 1,Preston,489,102.22
2022 Quarter 1,Prospect,723,76.89
2022 Quarter 1,Putnam,911,98.82
2022 Quarter 1,Redding,927,106.04
2022 Quarter 1,Ridgefield,2482,99.24
2022 Quarter 1,Rocky Hill,1336,64.29
2022 Quarter 1,Roxbury,141,62.39
2022 Quarter 1,Salem,387,91.84
2022 Quarter 1,Salisbury,296,70.63
2022 Quarter 1,Scotland,36,22.84
2022 Quarter 1,Seymour,1413,84.58
2022 Quarter 1,Sharon,183,68.41
2022 Quarter 1,Shelton,2916,71.55
2022 Quarter 1,Sherman,295,83.78
2022 Quarter 1,Simsbury,2234,91.12
2022 Quarter 1,Somers,731,71.29
2022 Quarter 1,South Windsor,1424,52.93
2022 Quarter 1,Southbury,3224,162.94
2022 Quarter 1,Southington,1740,40.05
2022 Quarter 1,Sprague,246,82.74
2022 Quarter 1,Stafford,754,65.79
2022 Quarter 1,Stamford,7839,57.85
2022 Quarter 1,Sterling,282,78.75
2022 Quarter 1,Stonington,2552,139.55
2022 Quarter 1,Stratford,3204,61.3
2022 Quarter 1,Suffield,1196,76.06
2022 Quarter 1,Thomaston,565,76.08
2022 Quarter 1,Thompson,620,67.5
2022 Quarter 1,Tolland,1109,76.21
2022 Quarter 1,Torrington,3062,86.44
2022 Quarter 1,Trumbull,2988,81.32
2022 Quarter 1,Union,25,31.89
2022 Quarter 1,Vernon,1985,65.69
2022 Quarter 1,Voluntown,246,95.94
2022 Quarter 1,Wallingford,3554,80.19
2022 Quarter 1,Warren,105,77.89
2022 Quarter 1,Washington,212,58.18
2022 Quarter 1,Waterbury,5046,44.1
2022 Quarter 1,Waterford,2247,115.14
2022 Quarter 1,Watertown,1458,66.02
2022 Quarter 1,West Hartford,653,10.2
2022 Quarter 1,West Haven,5521,99.41
2022 Quarter 1,Westbrook,2737,405.06
2022 Quarter 1,Weston,1481,142.95
2022 Quarter 1,Westport,3440,126.81
2022 Quarter 1,Wethersfield,1873,68.68
2022 Quarter 1,Willington,470,84.41
2022 Quarter 1,Wilton,2017,109.23
2022 Quarter 1,Winchester,844,82.53
2022 Quarter 1,Windham,1621,66.36
2022 Quarter 1,Windsor,1627,55.32
2022 Quarter 1,Windsor Locks,838,66.55
2022 Quarter 1,Wolcott,1199,74.39
2022 Quarter 1,Woodbridge,759,83.65
2022 Quarter 1,Woodbury,760,78.26
2022 Quarter 1,Woodstock,570,69.28
2022 Quarter 2,Andover,220,69.86
2022 Quarter 2,Ansonia,1294,68.46
2022 Quarter 2,Ashford,369,88.17
2022 Quarter 2,Avon,1649,87.17
2022 Quarter 2,Barkhamsted,278,76.16
2022 Quarter 2,Beacon Falls,474,79.09
2022 Quarter 2,Berlin,1230,61.03
2022 Quarter 2,Bethany,543,102.57
2022 Quarter 2,Bethel,1879,92.42
2022 Quarter 2,Bethlehem,250,73.96
2022 Quarter 2,Bloomfield,861,40.12
2022 Quarter 2,Bolton,330,67.79
2022 Quarter 2,Bozrah,277,114.37
2022 Quarter 2,Branford,2935,104.0
2022 Quarter 2,Bridgeport,3962,26.64
2022 Quarter 2,Bridgewater,137,82.58
2022 Quarter 2,Bristol,4503,74.08
2022 Quarter 2,Brookfield,1945,111.03
2022 Quarter 2,Brooklyn,737,87.21
2022 Quarter 2,Burlington,712,74.79
2022 Quarter 2,Canaan,270,249.77
2022 Quarter 2,Canterbury,429,85.1
2022 Quarter 2,Canton,855,84.44
2022 Quarter 2,Chaplin,173,80.8
