Date,Patient Residence,geolocation,State,Naloxone Prescription Count,"Naloxone Rate per 1,000 Residents",Opiate Agonist Prescription Count,"Opiate Agonist Rate per 1,000 Residents",Opiate Partial Agonist Prescription Count,"Opiate Partial Agonist Rate per 1,000 Residents",Benzodiazepine Prescription Count,"Benzodiazepine Rate per 1,000 Residents",Stimulant Prescription Count,"Stimulant Rate per 1,000 Residents",Gabapentin Prescription Count,"Gabapentin Rate per 1,000 Residents"
2025 Quarter 1,Sterling,POINT (-71.82867 41.70749),CT,4,1.1,278,76.29,95,26.07,236,64.76,417,114.43,165,45.28
2022 Quarter 4,Suffield,POINT (-72.65914 41.98373),CT,7,0.44,1224,77.17,172,10.84,1181,74.45,1154,72.75,1154,72.75
2023 Quarter 2,Ellington,POINT (-72.46909 41.90438),CT,14,0.84,1311,78.83,197,11.85,1500,90.2,1162,69.87,781,46.96
2022 Quarter 1,Killingworth,POINT (-72.56592 41.35961),CT,4,0.65,590,95.58,137,22.19,698,113.07,581,94.12,306,49.57
2023 Quarter 4,Thomaston,POINT (-73.07407 41.67348),CT,7,0.94,894,119.71,190,25.44,828,110.87,636,85.16,403,53.96
2024 Quarter 2,Union,POINT (-72.15536 41.99378),CT,0,0,59,74.4,0,0,26,32.79,39,49.18,41,51.7
2023 Quarter 3,Canton,POINT (-72.89936 41.82742),CT,12,1.19,760,75.31,93,9.22,870,86.22,876,86.81,465,46.08
2024 Quarter 2,Harwinton,POINT (-73.06991 41.76965),CT,4,0.72,584,105,95,17.08,483,86.84,491,88.28,353,63.47
2024 Quarter 1,Washington,POINT (-73.31101 41.63097),CT,2,0.55,310,84.56,9,2.45,255,69.56,275,75.01,123,33.55
2023 Quarter 1,Stafford,POINT (-72.28626 41.98679),CT,8,0.7,1480,129.69,312,27.34,1180,103.4,878,76.94,740,64.84
2024 Quarter 4,Canaan,POINT (-73.301162 41.965661),CT,1,0.92,101,93.35,8,7.39,93,85.95,76,70.24,69,63.77
2023 Quarter 4,West Haven,POINT (-72.94998 41.27228),CT,122,2.22,5484,99.7,1234,22.43,4753,86.41,2997,54.49,2833,51.51
2024 Quarter 3,Colebrook,POINT (-73.11155 42.0129),CT,0,0,160,116.96,27,19.74,113,82.6,69,50.44,84,61.4
2025 Quarter 1,Hebron,POINT (-72.35799 41.66031),CT,5,0.55,716,78.29,173,18.92,892,97.53,931,101.79,552,60.35
2024 Quarter 1,Guilford,POINT (-72.68142 41.28424),CT,25,1.14,2052,93.19,290,13.17,2701,122.67,2483,112.77,1076,48.87
2022 Quarter 4,Scotland,POINT (-72.08296 41.69848),CT,1,0.64,62,39.54,6,3.83,58,36.99,40,25.51,40,25.51
2023 Quarter 3,Bloomfield,POINT (-72.73487 41.82963),CT,16,0.74,1724,79.96,175,8.12,1576,73.1,891,41.33,1155,53.57
2024 Quarter 1,Ridgefield,POINT (-73.49866 41.2845),CT,12,0.48,1586,63.42,89,3.56,2154,86.14,2791,111.61,1050,41.99
2022 Quarter 3,Colchester,POINT (-72.32694 41.5749),CT,29,1.87,2098,135.35,435,28.06,1878,121.15,1628,105.03,1003,64.71
2024 Quarter 1,Brookfield,POINT (-73.39836 41.46765),CT,12,0.68,1456,83,125,7.13,1494,85.16,1859,105.97,718,40.93
2022 Quarter 1,Suffield,POINT (-72.65914 41.98373),CT,11,0.7,1333,84.77,185,11.76,1269,80.7,1196,76.06,664,42.23
